"name","brand","category","subcategory","gender","price","currency","color","material","sizes","description","product_url","photo_url"
"floral-appliqué mini dress","Cult Gaia","tops","","female","103000","RUB","White","","","Cult Gaia floral-appliqué mini dress | White | white | floral appliqué | adjustable shoulder straps | V-neck | Viscose/Nylon | Cocktail & Party Dresses | Dresses | Clothing | Women","https://www.farfetch.com/de/shopping/women/cult-gaia-floral-applique-mini-dress-item-33292915.aspx","https://cdn-images.farfetch-contents.com/33/29/29/15/33292915_66384761_1000.jpg"
"Cleio layered mini dress","Aje","tops","","female","53000","RUB","Pink","","","Aje Cleio layered mini dress | Pink | coral | ruffle trim | layered | thin straps | sleeveless | zip fastening | Polyester | Cocktail & Party Dresses | Day Dresses | Dresses | Clothing | Women","https://www.farfetch.com/de/shopping/women/aje-cleio-layered-mini-dress-item-33287629.aspx","https://cdn-images.farfetch-contents.com/33/28/76/29/33287629_66611757_1000.jpg"
"crew neck short-sleeve dress","JNBY","tops","","female","125000","RUB","Grey","","","JNBY crew neck short-sleeve dress | Grey | light grey | two side inset pockets | Cotton | Day Dresses | Dresses | Clothing | Women","https://www.farfetch.com/de/shopping/women/jnby-kurzarmeliges-kleid-mit-rundhalsausschnitt-item-34089254.aspx","https://cdn-images.farfetch-contents.com/34/08/92/54/34089254_65543899_1000.jpg"
"floral-print ruffled midi dress","Self-Portrait","tops","","female","147000","RUB","Yellow","","","Self-Portrait floral-print ruffled midi dress | Yellow | yellow | floral print | V-neck | ruffled detailing | A-line | Cotton | Day Dresses | Dresses | Clothing | Women","https://www.farfetch.com/de/shopping/women/self-portrait-floral-print-ruffled-midi-dress-item-32625918.aspx","https://cdn-images.farfetch-contents.com/32/62/59/18/32625918_66339451_1000.jpg"
"Helena asymmetric gown dress","ARCINA ORI","tops","","female","113000","RUB","White","","","ARCINA ORI Helena asymmetric gown dress | White | ivory | asymmetric design | open back | draped detailing | spaghetti strap | Viscose | Bridal Dresses | Dresses | Clothing | Women","https://www.farfetch.com/de/shopping/women/arcina-ori-helena-asymmetric-gown-dress-item-32261384.aspx","https://cdn-images.farfetch-contents.com/32/26/13/84/32261384_62853750_1000.jpg"
"embellished knitted maxi dress","SANDRO","tops","","female","61000","RUB","Blue","","","SANDRO embellished knitted maxi dress | Blue | navy blue | rhinestones embellished | round neck | short  sleeves | button fastening | decorative welt pockets | Viscose/Polyamide/Polyester/Metallic Fibre/Elastane | Day Dresses | Dresses | Clothing | Women","https://www.farfetch.com/de/shopping/women/sandro-embellished-knitted-maxi-dress-item-32550984.aspx","https://cdn-images.farfetch-contents.com/32/55/09/84/32550984_63089691_1000.jpg"
"semi-sheer lace minidress","Dolce & Gabbana","tops","","female","288000","RUB","Black","","","Dolce & Gabbana semi-sheer lace minidress | Black | black | semi-sheer construction | lace detailing | round neck | long sleeves | straight hem | thigh-length | concealed rear hook and zip fastening | Cotton/Viscose/Polyamide/Elastane | Cocktail & Party Dresses | Dresses | Clothing | Women","https://www.farfetch.com/de/shopping/women/dolce-gabbana-semi-transparentes-spitzenkleid-item-22054506.aspx","https://cdn-images.farfetch-contents.com/22/05/45/06/22054506_52395937_1000.jpg"
"Blossom dress","Ana Radu","tops","","female","125000","RUB","Yellow","","","Ana Radu Blossom dress | Yellow | yellow | one-shoulder style | flower detail | side slit | Fabric | Evening Dresses | Dresses | Clothing | Women","https://www.farfetch.com/de/shopping/women/ana-radu-blossom-dress-item-34269964.aspx","https://cdn-images.farfetch-contents.com/34/26/99/64/34269964_65308591_1000.jpg"
"Iolanda strapless-pleated maxi dress","Iris Serban","tops","","female","99000","RUB","Neutrals","","","Iris Serban Iolanda strapless-pleated maxi dress | Neutrals | metallic grey | strapless | pleated | train | sweetheart neck | Fabric | Evening Dresses | Dresses | Clothing | Women","https://www.farfetch.com/de/shopping/women/iris-serban-iolanda-strapless-pleated-maxi-dress-item-32689163.aspx","https://cdn-images.farfetch-contents.com/32/68/91/63/32689163_62936580_1000.jpg"
"Rebellion button floral mini dress","ZIMMERMANN","tops","","female","515000","RUB","Blue","","","ZIMMERMANN Rebellion button floral mini dress | Blue | light blue | floral print | rouleau buttons on the front | raised collar | removable scarf belt | flared skirt | back zip closure | Linen/Flax/Polyester/Silk | Day Dresses | Dresses | Clothing | Women","https://www.farfetch.com/de/shopping/women/zimmermann-rebellion-button-floral-mini-dress-item-32842080.aspx","https://cdn-images.farfetch-contents.com/32/84/20/80/32842080_65467647_1000.jpg"
"long-sleeve lace midi dress","Dolce & Gabbana","tops","","female","435000","RUB","Pink","","","Dolce & Gabbana long-sleeve lace midi dress | Pink | mallow | lace detail | round neck | long sleeves | mid-length | scalloped hem | Cotton/Viscose/Polyamide/Silk/Elastane | Cocktail & Party Dresses | Dresses | Clothing | Women","https://www.farfetch.com/de/shopping/women/dolce-gabbana-langarmeliges-spitzenkleid-item-32464689.aspx","https://cdn-images.farfetch-contents.com/32/46/46/89/32464689_62883937_1000.jpg"
"Quinn puff-sleeves midi dress","DÔEN","tops","","female","146000","RUB","Yellow","","","DÔEN Quinn puff-sleeves midi dress | Yellow | yellow | bow detail | puff sleeves | Organic Cotton | Day Dresses | Dresses | Clothing | Women","https://www.farfetch.com/de/shopping/women/doen-quinn-puff-sleeves-midi-dress-item-33602547.aspx","https://cdn-images.farfetch-contents.com/33/60/25/47/33602547_66610855_1000.jpg"
"pleated chiffon maxi dress","Dolce & Gabbana","tops","","female","509000","RUB","Orange","","","Dolce & Gabbana pleated chiffon maxi dress | Orange | bright orange | tonal design | spaghetti straps | sweetheart neck | gathered detailing | rear zip fastening | Polyester | Day Dresses | Dresses | Clothing | Women","https://www.farfetch.com/de/shopping/women/dolce-gabbana-plissiertes-maxikleid-aus-chiffon-item-16972140.aspx","https://cdn-images.farfetch-contents.com/16/97/21/40/16972140_34992712_1000.jpg"
"pleated floral-print dress","Roberto Cavalli","tops","","female","414000","RUB","Neutrals","","","Roberto Cavalli pleated floral-print dress | Neutrals | off-white | pleated fabric | floral print | pheasant print | cut-out detail | criss-cross halter neck | Silk | Evening Dresses | Dresses | Clothing | Women","https://www.farfetch.com/de/shopping/women/roberto-cavalli-pleated-floral-print-dress-item-30634055.aspx","https://cdn-images.farfetch-contents.com/30/63/40/55/30634055_59963814_1000.jpg"
" Susies corset-detail maxi dress","Maria Lucia Hohan","tops","","female","253000","RUB","Brown","","","Maria Lucia Hohan  Susies corset-detail maxi dress | Brown | chocolate | off-shoulder | corset bodice | front slit | lace-up back | tassel detail | Silk | Evening Dresses | Dresses | Clothing | Women","https://www.farfetch.com/de/shopping/women/maria-lucia-hohan-susies-corset-detail-maxi-dress-item-33344436.aspx","https://cdn-images.farfetch-contents.com/33/34/44/36/33344436_65530059_1000.jpg"
"floral-print silk maxi dress","La DoubleJ","tops","","female","112000","RUB","Yellow","","","La DoubleJ floral-print silk maxi dress | Yellow | light blue/yellow | silk | twill weave | floral print | round neck | rear zip fastening | short sleeves | flared design | ankle-length | straight hem | Silk | Day Dresses | Dresses | Clothing | Women","https://www.farfetch.com/de/shopping/women/la-doublej-floral-print-silk-maxi-dress-item-23690705.aspx","https://cdn-images.farfetch-contents.com/23/69/07/05/23690705_53963764_1000.jpg"
"floral-print mini dress","Stella McCartney","tops","","female","80000","RUB","White","","","Stella McCartney floral-print mini dress | White | white  | floral print | sleeveless | back zip fastening | Cotton | Day Dresses | Dresses | Clothing | Women","https://www.farfetch.com/de/shopping/women/stella-mccartney-minikleid-mit-blumen-print-item-34315191.aspx","https://cdn-images.farfetch-contents.com/34/31/51/91/34315191_65520983_1000.jpg"
"off-shoulder draped-detail gown","Amsale","tops","","female","27000","RUB","Blue","","","Amsale off-shoulder draped-detail gown | Blue | midnight blue | satin finish | draped design | off-shoulder | short sleeves | extra-long length | straight hem | Polyester | Evening Dresses | Dresses | Clothing | Women","https://www.farfetch.com/de/shopping/women/amsale-off-shoulder-draped-detail-gown-item-21794007.aspx","https://cdn-images.farfetch-contents.com/21/79/40/07/21794007_51756215_1000.jpg"
"glittery plissé-effect gown","NISSA","tops","","female","112000","RUB","Gold","","","NISSA glittery plissé-effect gown | Gold | gold-tone | metallic threading | glitter detailing | mini gold-tone logo plaque | plunging V-neck | panelled bodice | sleeveless | rear criss-cross straps | open back | fitted waistline | flared plissé skirt | side slit | straight hem | floor-length | Polyamide/Viscose/Elastane/Polyamide/Metallic Fibre | Evening Dresses | Dresses | Clothing | Women","https://www.farfetch.com/de/shopping/women/nissa-glittery-plisse-effect-gown-item-23622262.aspx","https://cdn-images.farfetch-contents.com/23/62/22/62/23622262_53561851_1000.jpg"
"off-shoulder gown","Ana Radu","tops","","female","154000","RUB","Blue","","","Ana Radu off-shoulder gown | Blue | blue | off-shoulder neckline | flared skirt | concealed zip fastening | pleated detailing | floor-length | Polyester | Evening Dresses | Dresses | Clothing | Women","https://www.farfetch.com/de/shopping/women/ana-radu-off-shoulder-gown-item-33053630.aspx","https://cdn-images.farfetch-contents.com/33/05/36/30/33053630_63434432_1000.jpg"
"sleeveless tulle midi dress","Dolce & Gabbana","tops","","female","478000","RUB","Black","","","Dolce & Gabbana sleeveless tulle midi dress | Black | black | sweetheart neck | panelled bodice | lace panelling | fitted waistline | thigh-length | Rayon/Nylon | Evening Dresses | Dresses | Clothing | Women","https://www.farfetch.com/de/shopping/women/dolce-gabbana-armelloses-midikleid-aus-tull-item-16658661.aspx","https://cdn-images.farfetch-contents.com/16/65/86/61/16658661_35304269_1000.jpg"
"Rebellion button floral-print midi dress","ZIMMERMANN","tops","","female","384000","RUB","Neutrals","","","ZIMMERMANN Rebellion button floral-print midi dress | Neutrals | ivory | stand collar | floral print | full flare skirt | long sleeves | invisible centre back zip closure | Linen/Flax/Silk/Polyester | Day Dresses | Dresses | Clothing | Women","https://www.farfetch.com/de/shopping/women/zimmermann-rebellion-button-floral-print-midi-dress-item-32728221.aspx","https://cdn-images.farfetch-contents.com/32/72/82/21/32728221_63115070_1000.jpg"
"Alessandra strapless maxi dress","Maria Lucia Hohan","tops","","female","365000","RUB","Pink","","","Maria Lucia Hohan Alessandra strapless maxi dress | Pink | gold-tone | strapless | rear lace-up fastening | concealed zip fastening | ring detail | front slit | pleated design | Silk | Evening Dresses | Dresses | Clothing | Women","https://www.farfetch.com/de/shopping/women/maria-lucia-hohan-alessandra-strapless-maxi-dress-item-32396006.aspx","https://cdn-images.farfetch-contents.com/32/39/60/06/32396006_62740330_1000.jpg"
